DATE_TIME,PE,VWC,PRECIP,EFF_RAIN
2015-05-16,3.1,36.4,0.0,-3.1
2015-05-17,2.1,36.8,0.36,-1.7400000000000002
2015-05-18,1.9,39.7,4.53,2.6300000000000003
2015-05-19,2.2,40.0,3.0799999999999996,0.8799999999999994
2015-05-20,2.7,41.2,0.0,-2.7
2015-05-21,3.2,40.2,0.0,-3.2
2015-05-22,2.7,37.5,0.0,-2.7
2015-05-23,3.3,37.9,0.0,-3.3
2015-05-24,2.7,37.0,0.9400000000000001,-1.7600000000000002
2015-05-25,1.9,35.2,0.0,-1.9
2015-05-26,2.9,33.0,0.0,-2.9
2015-05-27,2.1,35.6,2.06,-0.040000000000000036
2015-05-28,3.1,34.0,0.0,-3.1
2015-05-29,1.9,36.5,6.13,4.23
2015-05-30,3.5,36.9,0.0,-3.5
2015-05-31,2.0,40.1,4.429999999999999,2.429999999999999
2015-06-01,2.4,39.7,12.44,10.04
2015-06-02,2.6,41.0,2.43,-0.16999999999999993
2015-06-03,3.3,38.1,0.0,-3.3
2015-06-04,4.2,40.7,0.0,-4.2
2015-06-05,3.5,37.9,0.0,-3.5
2015-06-06,3.7,37.0,0.0,-3.7
2015-06-07,4.3,34.9,0.0,-4.3
2015-06-08,2.5,34.8,0.18,-2.32
2015-06-09,3.4,33.8,0.0,-3.4
2015-06-10,3.8,32.9,0.0,-3.8
2015-06-11,4.2,32.4,0.11,-4.09
2015-06-12,4.0,31.8,0.0,-4.0
2015-06-13,2.0,35.6,12.469999999999999,10.469999999999999
2015-06-14,1.1,37.9,1.35,0.25
2015-06-15,3.6,36.3,0.0,-3.6
2015-06-16,3.1,36.2,0.0,-3.1
2015-06-17,2.0,37.1,0.36,-1.6400000000000001
2015-06-18,2.3,33.7,0.09,-2.21
2015-06-19,1.3,30.9,0.0,-1.3
2015-06-20,1.6,31.6,1.1600000000000001,-0.43999999999999995
2015-06-21,2.9,32.1,0.12,-2.78
2015-06-22,1.6,32.5,1.5699999999999998,-0.03000000000000025
2015-06-23,1.9,32.6,0.0,-1.9
2015-06-24,3.6,32.9,0.0,-3.6
2015-06-25,2.8,33.0,0.0,-2.8
2015-06-26,2.5,32.0,0.0,-2.5
2015-06-27,4.4,30.2,0.0,-4.4
2015-06-28,2.6,30.8,0.32,-2.2800000000000002
2015-06-29,4.1,31.0,0.0,-4.1
2015-06-30,5.4,30.8,0.0,-5.4
2015-07-01,4.6,28.9,0.0,-4.6
2015-07-02,3.0,32.2,2.04,-0.96
2015-07-03,4.5,31.3,0.05,-4.45
2015-07-04,3.0,33.6,16.16,13.16
2015-07-05,2.0,35.5,1.3,-0.7
2015-07-06,2.6,34.0,1.48,-1.12
2015-07-07,2.6,35.3,7.39,4.789999999999999
2015-07-08,1.6,34.2,5.13,3.53
2015-07-09,4.2,35.8,0.0,-4.2
2015-07-10,4.2,34.1,0.0,-4.2
2015-07-11,3.7,33.8,0.41000000000000003,-3.29
2015-07-12,3.6,33.7,0.6900000000000001,-2.91
2015-07-13,1.6,34.3,2.41,0.81
2015-07-14,2.2,36.0,0.0,-2.2
2015-07-15,3.8,31.9,0.0,-3.8
2015-07-16,3.9,29.8,0.0,-3.9
2015-07-17,3.0,32.5,3.34,0.33999999999999986
2015-07-18,3.7,30.9,0.0,-3.7
2015-07-19,2.7,31.0,4.879999999999999,2.179999999999999
2015-07-20,2.8,31.3,0.0,-2.8
2015-07-21,2.5,30.0,0.41000000000000003,-2.09
2015-07-22,1.9,30.3,0.0,-1.9
2015-07-23,2.5,31.1,0.08,-2.42
2015-07-24,2.1,30.2,0.0,-2.1
2015-07-25,2.7,29.4,0.0,-2.7
2015-07-26,2.2,29.2,4.19,1.9900000000000002
2015-07-27,1.4,34.4,4.67,3.27
2015-07-28,1.4,37.0,15.54,14.139999999999999
2015-07-29,2.8,36.3,1.8,-0.9999999999999998
2015-07-30,2.2,39.6,0.15000000000000002,-2.0500000000000003
2015-07-31,2.9,37.4,0.0,-2.9
2015-08-01,2.1,35.6,2.7800000000000002,0.6800000000000002
2015-08-02,2.5,36.6,0.05,-2.45
2015-08-03,3.7,35.7,0.0,-3.7
2015-08-04,2.5,33.1,0.0,-2.5
2015-08-05,3.2,32.2,0.0,-3.2
2015-08-06,2.7,32.0,0.0,-2.7
2015-08-07,3.0,31.4,0.0,-3.0
2015-08-08,3.5,30.5,0.0,-3.5
2015-08-09,2.8,29.9,0.0,-2.8
2015-08-10,2.6,31.9,9.3,6.700000000000001
2015-08-11,2.5,33.5,0.0,-2.5
2015-08-12,2.8,30.5,0.0,-2.8
2015-08-13,1.8,28.9,0.65,-1.15
2015-08-14,0.5,34.6,13.440000000000001,12.940000000000001
